OBJECTID,Name,Baujahr,Gesamtleistung (MW),Anzahl,Typ (WKA),Ort,Landkreis,Breitengrad,Längengrad,Projektierer / Betreiber,Bemerkungen,,,,,,,
2125,Windkraftanlage Isens,1997,4.8,1,Nordex N133/4800 (1×),Isens,BRA,53.5508,8.3919,Projekt GmbH,2022 Repowering (1× Nordex N133/4800 statt 6× Vestas V44-600kW),,,,,,,
2126,Windkraftanlage Isens,2022,,,,,,53.5508,8.3919,,,,,,,,,
2127,Windkraftanlage Jardinghausen,1993,4,2,Vestas V80-2MW (1×),Jardinghausen,DH,52.8542,8.8694,,früher noch 1× AN Bonus 150/30,,,,,,,
2128,Windkraftanlage Jardinghausen,2004,,,Enercon E-70 (1×),,,52.8542,8.8694,,,,,,,,,
2129,Windkraftanlage Jardinghausen,2007,,,,,,52.8542,8.8694,,,,,,,,,
2130,Windkraftanlagen Jeversen,2011,4,2,Vestas V90-2MW (2×),Jeversen,CE,52.6522,9.7842,Energiekontor,,,,,,,,
2131,Windkraftanlage Kettenkamp,2002,0.6,1,Pfleiderer PWE 650 (1×),Kettenkamp,OS,52.5847,7.8464,,,,,,,,,
2132,Windkraftanlage Klein Fredenbeck,1995,0.5,1,Enercon E-40/5.40 (1×),Klein Fredenbeck,STD,53.5042,9.3575,,,,,,,,,
2133,Windkraftanlagen Klein Süstedt,2004,4,2,Vestas V80-2MW (2×),Uelzen,UE,52.9375,10.4736,PNE,Erweiterung geplant (4× GE Wind Energy 5.5-158),,,,,,,
2134,Windkraftanlagen Kneheim,1996,0.68,2,Tacke TW 80 (1×),Kneheim,CLP,52.7992,7.9664,,,,,,,,,
2135,Windkraftanlagen Kneheim,,,,Tacke TW 600e (1×),,,52.7992,7.9664,,,,,,,,,
2136,Windkraftanlage Köhlbrandhöft,2014,3,1,Nordex N117/3000 (1×),Steinwerder,HH,53.5333,9.9414,Hamburg Energie,Errichtet am Hauptklärwerk Köhlbrandhöft,,,,,,,
2137,Windkraftanlage Koppende,1993,0.15,1,Nordex N27/150 (1×),Ankum,OS,52.5692,7.9044,,,,,,,,,
2138,Windkraftanlagen Kronsberg,1990,3.3,2,Enron 1.5s (1×),Bemerode,H,52.3167,9.8383,"Windwärts, Herrmannsdorfer Landwerkstätten","Die Enercon E-66/18.70 ist eine Windkraftanlage mit Aussichtsplattform, Die beiden Anlagen wurden errichtet zur Expo 2000, Rückbau einer Enercon Enercon E-32 im November 2019",,,,,,,
2139,Windkraftanlagen Kronsberg,2000,,,Enercon E-66/18.70 (1×),,,52.3167,9.8383,,,,,,,,,
2140,Windkraftanlagen Kronsberg,2019,,,,,,52.3167,9.8383,,,,,,,,,
2141,Windkraftanlage Bad Laer,2005,2.3,1,Nordex N90/2300 (1×),Hardensetten,OS,52.1092,8.0236,"SeeBA, EFI Wind, TEN",,,,,,,,
2142,Windkraftanlage Landegge,1998,0.5,1,Enercon E-40/5.40 (1×),Haren (Ems),EL,52.8317,7.2006,,,,,,,,,
2143,Windkraftanlage Leerßen,2000,1,1,Nordex N54/1000 (1×),Leerßen,DH,52.9178,8.7864,,,,,,,,,
2144,Windkraftanlage Lewinghausen,1997,0.6,1,Tacke TW 600e (1×),Löningen,CLP,52.7142,7.6733,,,,,,,,,
2145,Windkraftanlage Lichtenberg,2004,1,1,AN Bonus 1000/54 (1×),Lichtenberg,DAN,52.9231,11.2508,,,,,,,,,
2146,Windkraftanlagen Liebenau,2002,1.7,2,Vestas V52-850kW (2×),Liebenau,NI,52.6208,9.0711,,,,,,,,,
2147,Windkraftanlagen Linsburg,1997,1,2,Micon M1500-500 (2×),Linsburg,NI,52.5858,9.2847,,,,,,,,,
2148,Windkraftanlage Linsburg-Bahnhof,1993,0.15,1,Nordex N27/150 (1×),Linsburg-Bahnhof,NI,52.6011,9.3219,,,,,,,,,
2149,Windkraftanlage Loherfeld,1996,0.5,1,Enercon E-40/5.40 (1×),Haselünne,EL,52.7333,7.4467,,,,,,,,,
2150,Windkraftanlage Loquard,1992,0.25,1,Tacke TW 250 (1×),Loquard,AUR,53.3858,7.0322,,,,,,,,,
2151,Windkraftanlage Luisenhof,1991,0.08,1,Enercon E-17 (1×),Nordenham,BRA,53.5256,8.5186,Oberschule Luisenhof,Errichtet auf dem Gelände der Oberschule Luisenhof,,,,,,,
2152,Windkraftanlagen Lüsche,1998,1.2,2,Enercon E-40/6.44 (2×),Lüsche,VEC,52.7336,8065,,,,,,,,,
2153,Windkraftanlagen Lüthorst,2014-2015,5,2,Vensys 112/2500 (2×),Lüthorst,NOM,51.8408,9.7375,CaSa Energy,,,,,,,,
2154,Windkraftanlagen Luttum,2001,1.2,2,Enercon E-40/6.44 (2×),Luttum,VER,52.9031,9.3033,,,,,,,,,
2155,Windkraftanlagen Marienhagen,2003,1.2,2,Enercon E-40/6.44 (2×),Marienhagen,HI,52.0253,9.67,,,,,,,,,
2156,Windkraftanlage Mehringen,1993,0.23,1,Micon M700-225 (1×),Mehringen,NI,52.8303,9.1492,,,,,,,,,
2157,Windkraftanlage Middoge,1995,0.25,1,Tacke TW 250 (1×),Wangerland,FRI,53.6272,7.8439,,,,,,,,,
2158,Windkraftanlagen Moordorf,1994,1,2,Enercon E-40/5.40 (2×),Moordorf,AUR,53.4717,7.4183,,,,,,,,,
2159,Windkraftanlagen Moorlosen Kirche,1988,0.53,2,MAN Aeroman 14.8 (1×),Niederbüren,HB,53.1317,8.6483,,"ehemaliges Testfeld für Kleinwindkraftanlagen der Kukate-Bauart, welche 2013 allesamt abgebaut wurden, die MAN-Anlage ist ein Zweiflügler",,,,,,,
2160,Windkraftanlagen Moorlosen Kirche,1998,,,Enercon E-40/5.40 (1×),,,53.1317,8.6483,,,,,,,,,
2161,Windkraftanlage Moorweg,1997,0.5,1,Enercon E-40/5.40 (1×),Moorweg,WTM,53.5933,7.5722,,,,,,,,,
2162,Windkraftanlage Mürrwarden,1993,0.15,1,AN Bonus 150/30 (1×),Mürrwarden,BRA,53.5964,8.2875,,,,,,,,,
2163,Windkraftanlage Nahne,1990,0.25,1,Nordex N29/250 (1×),Nahne,OS,52.2372,8.0436,,,,,,,,,
2164,Windkraftanlagen Natendorf,2000,1.2,2,Enercon E-40/6.44 (2×),Natenstedt,UE,53.0864,10.4517,,,,,,,,,
2165,Windkraftanlage Neelenhof,2002,0.66,1,Vestas V47-660kW (1×),Wybelsum,EMD,53.3589,7.0778,Nord-West-Wind,,,,,,,,
2166,Windkraftanlage Nesse,1994,0.3,1,Nordtank NTK 300/31 (1×),Nesse,AUR,53.6633,7.3911,,,,,,,,,
2167,Windkraftanlage Neuahrenberg,2004,0.33,1,Enercon E-33 (1×),Neuahrenberg,CLP,52.9664,7.7758,,,,,,,,,
2168,Windkraftanlagen Neuenfelde,1993,0.3,2,Nordex N27/150 (2×),Neuenfelde,HH,53.5011,9.7939,NET OHG,erster Windpark in Hamburg,,,,,,,
2169,Windkraftanlagen Neuenfelde,2015,,,,,,53.5011,9.7939,,eine dritte Nordex N27/150 2015 abgebaut,,,,,,,
2170,Windkraftanlage Neuenlande,1996,0.5,1,Enercon E-40/5.40 (1×),Herzlake,EL,52.6636,7.5544,,,,,,,,,
2171,Windkraftanlagen Neuenwalde,2020,7.2,2,Nordex N117/3600 (2×),Neuenwalde,CUX,53.6889,8.6678,,errichtet an der A 27,,,,,,,
2172,Windkraftanlage Neuschoo,1990,0.08,1,Tacke TW 80 (1×),Neuschoo,WTM,53.5519,7.5017,,"2014 Abbau einer weiteren Tacke TW 80, Abbau der letzten Anlage 2022",,,,,,,
2173,Windkraftanlage Neuschoo,2014,,,,,,53.5519,7.5017,,,,,,,,,
2174,Windkraftanlage Neuschoo,2022,,,,,,53.5519,7.5017,,,,,,,,,
2175,Windkraftanlage Neu Wulmstorf,2001,0.6,1,DeWind D4/48 (1×),Neu Wulmstorf,WL,53.4422,9.7839,,"ursprünglich 3 Anlagen, eine Anlage im Januar 2017 zusammengebrochen, die andere 2021 zurückgebaut",,,,,,,
2176,Windkraftanlagen Neustadt am Rübenberge,1998,3.8,2,Nordex N43/600 (1×),Neustadt am Rübenberge,H,52.5072,9.4886,,2014 Repowering (1× Vestas V112-3.3MW statt 4× Nordex N43/600),,,,,,,
2177,Windkraftanlagen Neustadt am Rübenberge,2014,,,Vestas V112-3.3MW (1×),,,52.5072,9.4886,,weiteres Repowering geplant (1× Enercon E-92 statt 1× Nordex N43/600),,,,,,,
2178,Windkraftanlagen Niederkerßenbrock,1995,0.25,1,Nordex N29/250 (1×),Niederkerßenbrock,OS,52.1425,8.3186,,,,,,,,,
2179,Windkraftanlagen Nienhagen,2001,2.6,2,AN Bonus 62/1300 (2×),Nienhagen,CE,52.5386,10.1006,Energiequelle,,,,,,,,
2180,Windkraftanlage Nikolausdorf,2001,0.5,1,Enercon E-40/5.40 (1×),Nikolausdorf,CLP,53.0025,8.0775,,,,,,,,,
2181,Windkraftanlagen Nindorf,1997,1.2,2,Vestas V44-600kW (2×),Nindorf,STD,53.7158,9.3536,,,,,,,,,
2182,Windkraftanlage Norddeich,2003,0.23,1,Enercon E-30/2.30 (1×),Norddeich,AUR,53.6217,7.1703,,,,,,,,,
2183,Windkraftanlage Norden,1985,0.05,1,Enercon E-15 (1×),Norden,AUR,53.6047,7.1783,Möbelhaus Pflüger,"Erste Kundenanlage von Enercon, errichtet in Gewerbegebiet und auf dem Gelände des Möbelhauses Pflüger, 2020 abgebaut",,,,,,,
2184,Windkraftanlage Nordlohne,1996,0.6,1,Tacke TW 600 (1×),Nordlohne,NOH,52.5275,7.2503,,,,,,,,,
2185,Windkraftanlagen Nordsulingen,1998,0.5,1,Enercon E-40/5.40 (1×),Nordsulingen,DH,52.7239,8.7925,,früher noch eine Nordex N27/150,,,,,,,
2186,Windkraftanlagen Nordwohlde,1992,0.9,2,Nordtank NTK 150/25 (1×),Nordwohlde,DH,52.9025,8.7481,,2021 Abbau einer Vestas V17-75kW,,,,,,,
2187,Windkraftanlagen Nordwohlde,2001,,,Wincon W755/48 (1×),,,52.9025,8.7481,,"2022 Stilllegung beider Anlagen, sie sind jedoch noch aufgebaut",,,,,,,
2188,Nearshore-Windkraftanlage Emden-Südkai,2004,4.5,1,Enercon E-112 (1×),Emden,EMD,53.3331,7.2111,EWE,"Nearshore-Windkraftanlage zu Testzwecken, die Anlage erhielt im Jahr 2016 neue Rotorblätter",,,,,,,
2189,Windkraftanlage Ochsenwerder,1991,0.15,1,Nordtank NTK 150/25 (1×),Ochsenwerder,HH,53.4633,10.1117,,mittlerweile abgebaut,,,,,,,
2190,Windkraftanlagen Oerzen,2017,6.6,2,Nordex N131/3300 (2×),Oerzen,LG,53.1881,10.3133,,,,,,,,,
2191,Windkraftanlage Ostdorf,2000,0.6,1,Enercon E-40/6.44 E1 (1×),Ostdorf,AUR,53.6506,7.3317,,Prototyp der Enercon E-40/6.44 E1,,,,,,,
2192,Windkraftanlagen Ostdorf-Süd,2003-2004,4,2,Enercon E-66/20.70 (2×),Ostdorf,AUR,53.6317,7.3375,,"Die Anlagen besitzen den Turm und das Maschinenhaus einer Enercon E-66, wurden jedoch nachträglich mit dem Rotor einer Enercon E-70 ausgerüstet",,,,,,,
2193,Windkraftanlage Osterode,1996,0.5,1,Enercon E-40/5.40 (1×),Petershütte,GÖ,51.7264,10.2203,,,,,,,,,
2194,Windkraftanlage Ottenstein,1998,0.5,1,Enercon E-40/5.40 (1×),Ottenstein,HOL,51.9481,9.3847,,,,,,,,,
2195,Windkraftanlage Oyten-Tüchten,2020,5.3,1,GE Wind Energy 5.3-158 (1×),Tüchten,VER,53.0644,9.1383,Ecojoule Construct,,,,,,,,
2196,Windkraftanlagen Parnewinkel,2009,1.6,2,Enercon E-48 (2×),Parnewinkel,ROW,53395,9205,,,,,,,,,
2197,Windkraftanlagen Petersgroden,1995,0.6,1,Nordtank NTK 500/37 (1×),Petersgroden,FRI,53.4372,8.0858,,,,,,,,,
2198,Windkraftanlage Petkum,1998,0.6,1,Vestas V44-600kW (1×),Petkum,EMD,53.3408,7.2825,,,,,,,,,
2199,Windkraftanlagen Petkumer Mühle,1996,0.6,1,Tacke TW 600 (1×),Petkum,EMD,53.3322,7.2939,,,,,,,,,
2200,Windkraftanlage Pievens,1995,0.08,1,Lagerwey LW 18/80 (1×),Wangerland,FRI,53.6328,7.9003,,Zweiflügler,,,,,,,
2201,Windkraftanlagen Pöhlde,1996,0.95,2,Südwind N3335 (1×),Pöhlde,GÖ,51.6017,10.3356,Energiequelle,,,,,,,,
2202,Windkraftanlagen Pöhlde,2001,,,Enercon E-40/6.44 (1×),,,51.6017,10.3356,,,,,,,,,
2203,Windkraftanlage Potthuse,1994,0.6,1,Tacke TW 600 (1×),Potthuse,FRI,53.6825,7.8997,,,,,,,,,
2204,Windkraftanlage Quakenbrück,1994,0.08,1,Tacke TW 80 (1×),Quakenbrück,OS,52.6678,7.96,,,,,,,,,
2205,Windkraftanlage Rajenberg,1993,0.15,1,Nordex N27/150 (1×),Elsfleth,BRA,53.2269,8.4486,,,,,,,,,
2206,Windkraftanlagen Reeßum,2007,4,2,Enercon E-70 (2×),Reeßum,ROW,53.1389,9.2178,RWE Innogy,errichtet an der A 1,,,,,,,
2207,Windkraftanlagen Reithamm,1998,1.3,2,Enercon E-40/5.40 (1×),Osteel,AUR,53.5106,7.2039,,2012 Repowering (1× Enercon E-53 statt 1× Wind World W2700),,,,,,,
2208,Windkraftanlagen Reithamm,2012,,,Enercon E-53 (1×),,,53.5106,7.2039,,,,,,,,,
2209,Windkraftanlagen Rinteln-Westendorf,2018,6.9,2,Vestas V117-3.45MW (2×),Rinteln,SHG,52.1917,9.1575,GETproject,"Ursprünglich waren an diesem Standort 2× Nordex N117/3600 geplant, aufgrund eines Baustopps wurden die Anlagen nicht wie geplant im Jahr 2018 errichtet, 2020 Neuplanung mit neuen Anlagen (Inbetriebnahme unklar)",,,,,,,
2210,Windkraftanlage Rohrsen,2004,1.5,1,GE Wind Energy 1.5sl (1×),Rohrsen,NI,52.7128,9.2469,,,,,,,,,
2211,Windkraftanlage Rötzum,2002,2.3,1,Enercon E-82 E2 (1×),Rötzum,PE,52.2831,10.0756,,2011 Repowering (1× Enercon E-82 E2 statt 2× AN Bonus 62/1300),,,,,,,
2212,Windkraftanlage Rötzum,2011,,,,,,52.2831,10.0756,,,,,,,,,
2213,Windkraftanlage Rühle,1995,0.6,1,Tacke TW 600 (1×),Rühle,EL,52.6619,7.2167,,,,,,,,,
2214,Windkraftanlage Rühler Moor,1997,0.5,1,Enercon E-40/5.40 (1×),Rühle,EL,52.6611,7.1889,,errichtet an der A 31,,,,,,,
2215,Windkraftanlage Rütenbrock,1998,0.5,1,Enercon E-40/5.40 (1×),Rütenbrock,EL,52.8253,7.0994,,,,,,,,,
2216,Windkraftanlagen Rysum,1996,1.2,2,Tacke TW 600 (2×),Loquard,AUR,53.3806,7.0806,,Eine Anlage 2020 havariert und 2021 wieder aufgebaut,,,,,,,
2217,Windkraftanlagen Rysum,2021,,,,,,53.3806,7.0806,,,,,,,,,
2218,Windkraftanlagen Sagehorn,1996,0.54,2,Südwind N3127 (2×),Sagehorn,VER,53.0736,9.0033,,,,,,,,,
2219,Windkraftanlage Salzgitter-Thiede,1991,0.08,1,Enercon-18 (1×),Thiede,SZ,52.1811,10.4819,,,,,,,,,
2220,Windkraftanlage Scharringhausen,2003,1.8,1,Enercon E-66/18.70 (1×),Scharringhausen,DH,52.5836,8.8006,,,,,,,,,
2221,Windkraftanlage Scheeßel,1997,1,2,Enercon E-40/5.40 (2×),Scheeßel,ROW,53.1825,9.4603,,,,,,,,,
2222,Windkraftanlage Scheeßel,2000,,,,,,53.1825,9.4603,,,,,,,,,
2223,Windkraftanlage Schockum,1995,0.22,1,Micon M700-225 (1×),Nordenham,BRA,53.5425,8.4981,,,,,,,,,
2224,Windkraftanlage Scholen West,1998,0.5,1,Enercon E-40/5.40 (1×),Scholen,DH,52.7425,8.7597,,,,,,,,,
2225,Windkraftanlagen Schoonorth,1994,1,2,Enercon E-40/5.40 (2×),Krummhörn,AUR,53.5,7.1742,,,,,,,,,
2226,Windkraftanlage Schöppenstedt,1996,0.5,1,Enercon E-40/5.40 (1×),Eilum,WF,52.1697,10.7272,,,,,,,,,
2227,Windkraftanlage Schöppenstedt,,,,,Kneitlingen-Ampleben,,52.1697,10.7272,,,,,,,,,
2228,Windkraftanlagen Seefeld,1992,4.6,2,Enercon E-70 E4 (2×),Seefeld,BRA,53.4467,8.3372,,2017 Repowering (2× Enercon E-70 E4 statt 6× AN Bonus 450/37),,,,,,,
2229,Windkraftanlagen Seefeld,2017,,,,,,53.4467,8.3372,,,,,,,,,
2230,Windkraftanlage Siepkwerdum,1995,0.45,1,AN Bonus 450/35 (1×),Bensersiel,WTM,53.6622,7.5564,,,,,,,,,
2231,Windkraftanlagen Soltau-Abelbeck,2007,1.6,2,Enercon E-53 (2×),Soltau,HK,52.96,9.9056,Energiequelle,errichtet an der A 7,,,,,,,
2232,Windkraftanlage Soltau-Hötzingen,2009,0.8,1,Enercon E-53 (1×),Hötzingen,HK,53.0044,9.9561,Energiequelle,,,,,,,,
2233,Windkraftanlage Soltau-Moide,2006,1.3,1,AN Bonus 1300/62 (1×),Moide,HK,52.9753,9.9361,"Planet Energy, WP Soltau",,,,,,,,
2234,Windkraftanlagen Soltau-Oeningen,2005,2.6,2,AN Bonus 62/1300 (2×),Oeningen,HK,52.9922,9.9061,NewEN,,,,,,,,
2235,Windkraftanlage Sophienhof,1990,0.28,1,Enercon E-32 (1×),Junkersrott,AUR,53.6606,7.2567,,,,,,,,,
2236,Windkraftanlage Sothel,2011,0.8,1,Enercon E-53 (1×),Sothel,ROW,53.2342,9.4369,,,,,,,,,
2237,Windkraftanlage Spiekeroog,1995,225,1,Vestas V27-225kW (1×),Spiekeroog,WTM,53.7661,7.7264,,,,,,,,,
2238,Windkraftanlage Stavern,1996,0.5,1,Enercon E-40/5.40 (1×),Stavern,EL,52.8075,7.4744,,,,,,,,,
2239,Windkraftanlagen Stedebergen,2005,4,2,Gamesa G80-2.0MW (2×),Stedebergen,VER,52.8844,9.2047,Viridis Clean Energy,,,,,,,,
2240,Windkraftanlagen Steimke,2000,1.2,2,Tacke TW 600a (2×),Steimke,GF,52.7519,10.5936,,Früher drei Anlagen,,,,,,,
2241,Windkraftanlagen Steimke,2002,,,,,,52.7519,10.5936,,,,,,,,,
2242,Windkraftanlagen Steinsvorde,2006,4,2,Enercon E-82 (2×),Scholen,DH,52.7692,8.7925,,,,,,,,,
2243,Windkraftanlagen Stöcken,2011,1.6,2,Enercon E-48 (2×),Stöcken,UE,53.0036,10.6861,,,,,,,,,
2244,Windkraftanlagen Streitberg,1995,1,2,Enercon E-40/5.40 (2×),Laatzen,H,52.2778,9.8703,,,,,,,,,
2245,Windkraftanlagen Stroit,2009,4,2,Enercon E-82 (2×),Stroit,NOM,51875,9.8592,,Erweiterung geplant (9× Vestas V162-5.6MW),,,,,,,
2246,Windkraftanlagen Stroit,2012,,,,,,51875,9.8592,,,,,,,,,
2247,Windkraftanlagen Stühren,1998,1.45,2,Nordtank NTK 600/43 (1×),Stroit,DH,52.9008,8.7133,,,,,,,,,
2248,Windkraftanlagen Stühren,2002,,,Vestas V52-850kW (1×),,,52.9008,8.7133,,,,,,,,,
2249,Windkraftanlage Stührenberg,1999,1.65,1,Vestas V66-1.65MW (1×),Nordenham,BRA,53.5039,8.5056,,"errichtet auf dem Werksgelände von Stührenberg GmbH&Co KG, die Anlage wurde 2016 abgebaut",,,,,,,
2250,Windkraftanlage Stührenberg,2016,,,,,,53.5039,8.5056,,,,,,,,,
2251,Windkraftanlagen Tangendorf,2000,2,2,AN Bonus 1000/54 (2×),Tangendorf,WL,53305,10.0861,Orbis,,,,,,,,
2252,Windkraftanlage Tyedmerswarfen,1995,225,1,Vestas V29-225kW (1×),Tyedmerswarfen,FRI,53.6314,7.8817,,früher noch eine Lagerwey LW15/75,,,,,,,
2253,Windkraftanlagen Uphusen,1995,1,2,Vestas V39-500kW (2×),Uphusen,EMD,53.3803,7.2661,,,,,,,,,
2254,Windkraftanlage Varenesch,2004,2.3,1,Enercon E-82 E2 (1×),Varenesch,VEC,52.7675,8.4333,Bürgerwindrad Varenesch,2018 Repowering (1× Enercon E-82 E2 statt 1× Enercon E-40/6.44),,,,,,,
2255,Windkraftanlage Varenesch,2018,,,,,,52.7675,8.4333,,,,,,,,,
2256,Windkraftanlage Vastorf,1995,2.3,1,Enercon E-82 E2 (1×),Vastorf,LG,53.2103,10.5336,,2017 Repowering (1× Enercon E-82 E2 statt 1× Enercon E-40/5.40),,,,,,,
2257,Windkraftanlage Vastorf,2017,,,,,,53.2103,10.5336,,,,,,,,,
2258,Windkraftanlage Vehnemoor,1996,0.5,1,Enercon E-40/5.40 (1×),Bösel,CLP,53.0336,8.0264,,,,,,,,,
2259,Windkraftanlagen Venne,2014,4.7,2,Enercon E-92 (2×),Niewedde,OS,52.4067,8.1539,Stadtwerke Osnabrück,,,,,,,,
2260,Windkraftanlage Verliehausen,2013–2014,2.35,1,Enercon E-92 (1×),Verliehausen,NOM,51.6047,9.6531,BHS Windkraft,,,,,,,,
2261,Windkraftanlagen Vorwerk,1998,1,2,Enercon E-40/5.40 (2×),Vorwerk,LER,53.2647,7.4247,,,,,,,,,
2262,Windkraftanlagen Völkersen,2022,11.2,2,Vestas V150-5.6MW (2×),Langwedel,VER,53.0231,9.2186,,,,,,,,,
2263,Windkraftanlage Vörier Berg,1989,1.3,1,AN Bonus 1300/62 (1×),Holtensen,H,52.2617,9.6536,,Im Jahr 2014 wurden 3 Enercon E-32 abgebaut,,,,,,,
2264,Windkraftanlage Vörier Berg,2000,,,,,,52.2617,9.6536,,,,,,,,,
2265,Windkraftanlage Vörier Berg,2014,,,,,,52.2617,9.6536,,,,,,,,,
2266,Windkraftanlage Vienenburg,1991,75,1,Lagerwey LW 15/75 (1×),Vienenburg,GS,51.9489,10.6203,,Zweiflügler,,,,,,,
2267,Windkraftanlage Vinte,1995,0.16,2,Lagerwey LW18/80 (1×),Vinte,OS,52.3889,7.8481,,Die Lagerwey-Anlage ist ein Zweiflügler,,,,,,,
2268,Windkraftanlage Vinte,,,,Tacke TW 80 (1×),,,52.3889,7.8481,,,,,,,,,
2269,Windkraftanlagen Waffensen,2001,1.2,2,Enercon E-40/6.44 (2×),Waffensen,ROW,53.1114,9.3397,,,,,,,,,
2270,Windkraftanlage Wangersen,1995,0.6,1,Tacke TW 600 (1×),Wangersen,STD,53.3569,9.4153,,,,,,,,,
2271,Windkraftanlage Wasserhorst,2000,0.6,1,AN Bonus 600/44 (1×),Wasserhorst,HB,53.1622,8.7267,,,,,,,,,
2272,Windkraftanlage Wathlingen,2013,0.8,1,Enercon E-53 (1×),Wathlingen,CE,52.5417,10.1525,,,,,,,,,
2273,Windkraftanlagen Wayens,1990,375,2,Lagerwey LW15/75 (1×),Wayens,FRI,53.6578,7.9525,,"Privatbetrieb, bei der Lagerwey-Anlage handelt es sich um einen Zweiflügler",,,,,,,
2274,Windkraftanlagen Wayens,1993,,,Nordtank NTK 300/31 (1×),,,53.6578,7.9525,,,,,,,,,
2275,Windkraftanlagen Weibeck,2001,1.6,2,Nordex N50/800 (2×),Weibeck,HM,52.1556,9.3031,,eine weitere Anlage wurde 2021 abgebaut,,,,,,,
2276,Windkraftanlagen Weibeck,2021,,,,,,52.1556,9.3031,,,,,,,,,
2277,Windkraftanlagen Wennerstorf,2003,9,2,Nordex N149/4500 (2×),Wennerstorf,WL,53.3672,9.7883,ABO Wind, ABO Invest,7051210.9328,,,,,,
2278,Windkraftanlagen Wennerstorf,2018,,,,,,53.3672,9.7883,,2018 Repowering (2× Nordex N149/4.5 statt 4× AN Bonus 1300/62),,,,,,,
2279,Windkraftanlagen Werder,2000,3,2,GE Wind Energy 1.5sl (2×),Werder,VER,52.9714,9.0242,Energiequelle,,,,,,,,
2280,Windkraftanlagen Wesendorf,1996,4.1,2,REpower MM92 (2×),Westerholz,GF,52.6,10.5747,ORBIS Energie- und Umwelttechnik,"2021 Demontage einer Enercon E-40/5.40, Erweiterung geplant (2× GE Wind Energy 5.5-158)",,,,,,,
2281,Windkraftanlagen Wesendorf,2012,,,,,,52.6,10.5747,,,,,,,,,
2282,Windkraftanlagen Wesendorf,2021,,,,,,52.6,10.5747,,,,,,,,,
2283,Windkraftanlagen Wessenstedt,2011,1.6,2,Enercon E-48 (2×),Wessenstedt,UE,53.05,10.4572,,,,,,,,,
2284,Windkraftanlage Westeel,1990,0.08,1,Enercon E-18 (1×),Westeel,AUR,53.5333,7.1981,,,,,,,,,
2285,Windkraftanlagen Westendorf,2001,3,2,Südwind S77 (2×),Westendorf,OS,52.1739,8.3847,"SeeBA, EFI Wind",Repowering geplant (1× Nordex N163/5700 statt 2× Südwind S77),,,,,,,
2286,Windkraftanlage Westerholte,1997,0.5,1,Enercon E-40/5.40 (1×),Westerholte,OS,52.4942,7.8742,,,,,,,,,
2287,Windkraftanlagen Westerweyhe,2010,4,2,Enercon E-82 (2×),Uelzen,UE,53.0036,10.4908,SOWIWAS,,,,,,,,
2288,Windkraftanlage Wiepenkathen,1997,0.6,1,Vestas V44-600kW (1×),Wiepenkathen,STD,53.5725,9.3892,,,,,,,,,
2289,Windkraftanlage Wietzendorf,2013,1.6,2,Enercon E-53 (2×),Wietzendorf,HK,52.9017,9.9664,Lenpower,,,,,,,,
2290,Windkraftanlagen Wilhelminenhof,1994,0.75,2,Tacke TW 250 (1×),Dornumersiel,AUR,53.6739,7.4633,,,,,,,,,
2291,Windkraftanlagen Wilhelminenhof,1996,,,Enercon E-40/5.40 (1×),,,53.6739,7.4633,,,,,,,,,
2292,Windkraftanlage Woltringhausen,2010,0.8,1,Enercon E-53 (1×),Woltringhausen,NI,52.5517,8.9139,,,,,,,,,
2293,Windkraftanlage Worphausen,1994,0.25,2,Nordex N27/250 (1×),Worphausen,OHZ,53.2008,8.9672,,,,,,,,,
2294,Windkraftanlagen Wulfstorf,2022-2023,11,2,GE Wind Energy 5.5-158 (2×),Wulfstorf,UE,53195,10.5164,BWP Wulfstorf GmbH & Co. KG,in Bau,,,,,,,
2295,Windkraftanlage Wulfswarfe,1987,0.04,1,Südwind N 1230 (1×),Sillenstede,FRI,53195,10.5164,,Prototyp der Südwind N 1230,,,,,,,
2296,Windkraftanlagen Wüsthof,2006,2.6,2,AN Bonus 1300/62 (2×),Mittelstendorf,HK,52.9517,9.7833,"Planet Energy, WP Soltau",,,,,,,,
2297,Windkraftanlage Wymeer,2008,0.1,1,Fuhrländer FL astOs 100 (1×),Bunde,LER,53.0717,7.1147,,,,,,,,,
2298,Windkraftanlagen Zielens,1995,1.2,2,Tacke TW 600 (2×),Sillenstede,FRI,53.5678,8025,,,,,,,,,
2299,Offshore-Windenergieanlagen-Testfeld Bremerhaven-Lehe,2008,28.6,7,Areva Multibrid M5000 (2×),Lehe,HB,53.5567,8.6244,N.prior energy,errichtet an der A 27,,,,,,,
2300,Offshore-Windenergieanlagen-Testfeld Bremerhaven-Lehe,2012,,,REpower 3.4M104 (2×),,,53.5567,8.6244,,für Offshore-Einsatz konzipierte Anlagen zum Teil,,,,,,,
2301,Offshore-Windenergieanlagen-Testfeld Bremerhaven-Lehe,2015,,,Senvion 3.4M104 (1×),,,53.5567,8.6244,,Prototyp der Adwen AD 5-135,,,,,,,
2302,Offshore-Windenergieanlagen-Testfeld Bremerhaven-Lehe,2018,,,Senvion 3.4M114 (1×),,,53.5567,8.6244,,,,,,,,,
2303,Offshore-Windenergieanlagen-Testfeld Bremerhaven-Lehe,,,,Adwen AD 5-135 (1×),,,53.5567,8.6244,,,,,,,,,
